College,Branch,Exam,Year,Tuition_Fee,Hostel_Fee,Misc_Fee,OneTime_Fee,Total_First_Year,Total_Annual,Scholarship_Eligible
SDMCET,Mechanical Engineering,COMEDK,2024,239077,84128,12946,18545,354696,336151,No
KLSGIT,Mechanical Engineering,COMEDK,2024,246590,94807,8285,26503,376185,349682,Yes
UVCE,Data Science,COMEDK,2024,175968,77551,18215,17414,289148,271734,Yes
AECMandya,Chemical Engineering,COMEDK,2023,166896,70956,12010,16635,266497,249862,Yes
BNMIT,Computer Science and Engineering,COMEDK,2024,249961,94310,15148,10373,369792,359419,No
SITM,Biotechnology,KCET,2024,59334,85865,17235,16375,178809,162434,Yes
KLSGIT,Computer Science and Engineering,KCET,2023,54320,93007,18420,13247,178994,165747,Yes
BMIT,Artificial Intelligence and Data Science,KCET,2024,77586,67489,17332,25057,187464,162407,Yes
CMRIT,Chemical Engineering,KCET,2023,78969,87778,18205,12488,197440,184952,Yes
DSCE,Data Science,COMEDK,2023,206088,71479,9183,26220,312970,286750,Yes
SIT,Information Science and Engineering,COMEDK,2023,175546,73869,14879,15988,280282,264294,No
SJBCE,Information Science and Engineering,COMEDK,2024,175424,73521,8402,22461,279808,257347,Yes
CITGubbi,Robotics and Automation Engineering,KCET,2023,70074,88896,10257,25913,195140,169227,No
PRES,Computer Science and Engineering,KCET,2024,64765,83010,19952,26119,193846,167727,Yes
RVCE,Chemical Engineering,COMEDK,2023,227105,75084,9708,10651,322548,311897,Yes
RNSIT,Computer Science and Engineering,KCET,2024,83582,79576,9600,10530,183288,172758,No
KLSGIT,Chemical Engineering,KCET,2024,74730,84441,9211,21242,189624,168382,No
BMSIT,Civil Engineering,KCET,2023,55178,68747,10190,25612,159727,134115,Yes
DrAIT,Information Science and Engineering,KCET,2023,51505,91798,11629,10668,165600,154932,No
GMIT,Mechanical Engineering,KCET,2024,51286,90448,18042,28839,188615,159776,No
BMIT,Civil Engineering,COMEDK,2023,234962,92592,17401,19042,363997,344955,No
GMIT,Civil Engineering,COMEDK,2023,226928,80844,8613,21493,337878,316385,No
KSIT,Mechanical Engineering,KCET,2023,53834,91319,19900,18385,183438,165053,Yes
RAIT,Robotics and Automation Engineering,COMEDK,2023,186490,78630,17648,16966,299734,282768,No
CMRIT,Robotics and Automation Engineering,COMEDK,2024,226885,74555,17735,13813,332988,319175,Yes
PRES,Mechanical Engineering,KCET,2024,57731,89319,10682,21414,179146,157732,Yes
RIT,Chemical Engineering,COMEDK,2023,218432,66087,18528,27979,331026,303047,No
RVUNIV,Electrical and Electronics Engineering,KCET,2024,75938,67950,16869,25261,186018,160757,Yes
SJBIT,Information Science and Engineering,KCET,2024,74178,73459,16110,17855,181602,163747,No
UVCE,Civil Engineering,COMEDK,2024,198228,65323,17697,12522,293770,281248,No
JIT,Civil Engineering,KCET,2023,61034,65887,18092,10861,155874,145013,No
VIT,Mechanical Engineering,KCET,2024,60948,87173,14401,12336,174858,162522,No
VVIT,Chemical Engineering,KCET,2023,51288,81275,19613,10650,162826,152176,Yes
SDMCET,Artificial Intelligence and Data Science,KCET,2024,65084,86992,12878,16200,181154,164954,No
JIT,Electronics and Communication Engineering,KCET,2024,65089,78359,9907,13358,166713,153355,No
NIE,Artificial Intelligence and Data Science,KCET,2023,82311,90878,9938,16668,199795,183127,Yes
SDMCET,Civil Engineering,KCET,2023,73956,85986,19772,19246,198960,179714,Yes
RAIT,Mechanical Engineering,KCET,2024,61960,76565,8422,17577,164524,146947,Yes
NIE,Chemical Engineering,KCET,2024,82496,87547,12961,23720,206724,183004,No
EastPoint,Mechanical Engineering,COMEDK,2023,238626,86207,11017,22309,358159,335850,Yes
EastPoint,Electrical and Electronics Engineering,COMEDK,2023,230012,61266,15628,11667,318573,306906,No
BITM,Information Science and Engineering,COMEDK,2024,198468,86627,8529,11611,305235,293624,Yes
DSATM,Artificial Intelligence and Data Science,KCET,2023,79479,90824,10032,12037,192372,180335,Yes
HKBK,Mechanical Engineering,KCET,2023,72020,79175,18049,15858,185102,169244,No
YKCE,Artificial Intelligence and Data Science,COMEDK,2023,245567,62187,10355,12942,331051,318109,No
RVUNIV,Data Science,KCET,2023,67399,78904,10096,21038,177437,156399,Yes
AEC,Electrical and Electronics Engineering,COMEDK,2024,163337,85599,11847,29332,290115,260783,No
ACU,Civil Engineering,KCET,2023,66047,85071,13010,24246,188374,164128,No
GMIT,Biotechnology,COMEDK,2023,192238,83819,16064,12035,304156,292121,No
SITM,Data Science,COMEDK,2023,220191,76264,17932,14696,329083,314387,No
KLSGIT,Electronics and Communication Engineering,KCET,2023,54152,91392,16607,27449,189600,162151,Yes
JNNCE,Aerospace Engineering,COMEDK,2023,233125,65249,18828,15564,332766,317202,Yes
JNNCE,Chemical Engineering,COMEDK,2023,160135,80744,9943,25341,276163,250822,Yes
DBIT,Mechanical Engineering,KCET,2023,74944,63873,17568,12542,168927,156385,Yes
MSRUAS,Chemical Engineering,KCET,2023,53785,66050,13717,12502,146054,133552,Yes
JSSSTU,Mechanical Engineering,COMEDK,2023,213227,90401,19745,20517,343890,323373,Yes
BMIT,Information Science and Engineering,COMEDK,2024,222608,62097,10523,19035,314263,295228,Yes
SJBCE,Computer Science and Engineering,KCET,2024,81179,80783,15890,19767,197619,177852,Yes
YKCE,Biotechnology,KCET,2023,61519,81015,9882,18713,171129,152416,Yes
KSIT,Chemical Engineering,KCET,2024,54078,73081,8252,21840,157251,135411,Yes
KSIT,Electrical and Electronics Engineering,KCET,2024,69207,75242,13364,16465,174278,157813,No
VVCE,Artificial Intelligence and Data Science,COMEDK,2024,219786,84035,14757,27835,346413,318578,No
VemanaIT,Civil Engineering,COMEDK,2023,161678,63551,14474,11725,251428,239703,Yes
JNNCE,Robotics and Automation Engineering,COMEDK,2024,187620,84584,10719,26964,309887,282923,Yes
KSIT,Aerospace Engineering,COMEDK,2023,203342,86609,13046,16553,319550,302997,No
PESCE,Aerospace Engineering,COMEDK,2023,248722,91365,18863,14643,373593,358950,Yes
HKBK,Aerospace Engineering,KCET,2023,69521,87438,12381,26691,196031,169340,Yes
NCET,Biotechnology,KCET,2024,82094,87731,17313,29399,216537,187138,Yes
RVCE,Computer Science and Engineering,KCET,2023,51653,75103,19050,18883,164689,145806,Yes
BMSCE,Data Science,COMEDK,2024,225413,63293,15903,13909,318518,304609,No
PESCE,Electrical and Electronics Engineering,COMEDK,2024,239932,83216,9213,13138,345499,332361,Yes
REVA,Mechanical Engineering,KCET,2023,65410,94144,16208,24342,200104,175762,Yes
RAIT,Chemical Engineering,COMEDK,2023,240888,77058,17254,14595,349795,335200,No
DrAIT,Artificial Intelligence and Data Science,KCET,2023,54788,84506,11041,17090,167425,150335,Yes
VVCE,Artificial Intelligence and Data Science,COMEDK,2024,233478,85712,11546,14686,345422,330736,No
NMIT,Aerospace Engineering,KCET,2023,70440,60671,10570,29057,170738,141681,Yes
VSM,Data Science,COMEDK,2023,174146,76476,14283,26348,291253,264905,No
NCET,Data Science,KCET,2023,72076,83963,19170,17436,192645,175209,No
CMRIT,Robotics and Automation Engineering,KCET,2024,58550,93500,12006,24393,188449,164056,Yes
MVJCE,Biotechnology,COMEDK,2024,191956,85915,15520,25280,318671,293391,Yes
ACU,Mechanical Engineering,KCET,2024,70807,67122,11188,17929,167046,149117,Yes
MSRUAS,Biotechnology,COMEDK,2023,163051,66823,14319,26001,270194,244193,Yes
JNNCE,Electrical and Electronics Engineering,KCET,2023,69587,74793,14785,12629,171794,159165,Yes
MSRUAS,Biotechnology,COMEDK,2023,184680,67983,18778,14604,286045,271441,Yes
BNMIT,Mechanical Engineering,KCET,2023,78872,74587,19439,11558,184456,172898,Yes
HKBK,Aerospace Engineering,KCET,2024,81940,78724,10400,12045,183109,171064,No
GMIT,Aerospace Engineering,KCET,2023,66054,88682,15244,22937,192917,169980,Yes
PESU,Mechanical Engineering,COMEDK,2023,213570,86041,16290,19590,335491,315901,Yes
CITGubbi,Artificial Intelligence and Data Science,KCET,2023,50118,81918,14617,15783,162436,146653,Yes
PRES,Electrical and Electronics Engineering,COMEDK,2023,245927,64476,15612,24002,350017,326015,Yes
DSCE,Artificial Intelligence and Data Science,COMEDK,2023,214707,94719,18310,29477,357213,327736,Yes
RVUNIV,Aerospace Engineering,COMEDK,2023,183072,88687,17613,23941,313313,289372,No
BMSIT,Information Science and Engineering,COMEDK,2024,217695,83417,8722,14008,323842,309834,No
SDMCET,Information Science and Engineering,KCET,2024,51363,66699,9155,25583,152800,127217,Yes
KLEIT,Data Science,COMEDK,2024,208853,71093,10590,29486,320022,290536,Yes
KLSGIT,Data Science,KCET,2023,68065,73289,10281,12720,164355,151635,No
AIT,Computer Science and Engineering,KCET,2023,69342,92598,17334,18094,197368,179274,Yes
GMIT,Electronics and Communication Engineering,KCET,2023,54229,84709,13065,11523,163526,152003,No
SJBCE,Chemical Engineering,COMEDK,2023,197922,73694,10218,13269,295103,281834,Yes
SJBIT,Computer Science and Engineering,COMEDK,2024,170708,62286,8565,17592,259151,241559,Yes
BMIT,Data Science,KCET,2024,62819,92759,18066,16758,190402,173644,Yes
CMRIT,Electrical and Electronics Engineering,COMEDK,2024,208116,93252,13901,27012,342281,315269,No
MSRIT,Aerospace Engineering,KCET,2023,58970,61681,8240,10301,139192,128891,Yes
VIT,Electrical and Electronics Engineering,COMEDK,2023,238207,61278,17396,22853,339734,316881,No
JNNCE,Chemical Engineering,KCET,2024,77833,76506,19344,21383,195066,173683,No
AITM,Electrical and Electronics Engineering,KCET,2023,74965,77601,14588,23436,190590,167154,No
SITM,Information Science and Engineering,COMEDK,2023,203778,84214,18869,20822,327683,306861,No
NIE,Electronics and Communication Engineering,KCET,2024,61576,79384,12257,12666,165883,153217,Yes
PRES,Electrical and Electronics Engineering,KCET,2023,75415,88504,17414,25488,206821,181333,Yes
VVIT,Artificial Intelligence and Data Science,COMEDK,2023,221830,78451,19587,24913,344781,319868,Yes
HKBK,Mechanical Engineering,COMEDK,2024,164313,86171,12767,26637,289888,263251,No
RNSIT,Electrical and Electronics Engineering,COMEDK,2023,199751,65931,12948,16324,294954,278630,Yes
CMRIT,Chemical Engineering,COMEDK,2023,237681,67548,17150,25203,347582,322379,No
VVCE,Aerospace Engineering,KCET,2023,84798,78666,15573,13303,192340,179037,No
BITM,Robotics and Automation Engineering,COMEDK,2023,211296,77007,15359,14482,318144,303662,No
SIT,Computer Science and Engineering,KCET,2024,73001,71818,8496,23927,177242,153315,No
PESU,Biotechnology,KCET,2023,63584,61850,19479,27414,172327,144913,Yes
MVJCE,Computer Science and Engineering,COMEDK,2024,161789,77608,17232,18780,275409,256629,Yes
VIT,Civil Engineering,COMEDK,2023,216887,66310,9847,23210,316254,293044,No
BIT,Civil Engineering,COMEDK,2023,233533,66981,15521,21882,337917,316035,No
SDMIT,Computer Science and Engineering,KCET,2023,71794,82747,19815,13193,187549,174356,No
PRES,Civil Engineering,COMEDK,2023,217886,92988,14411,19445,344730,325285,Yes
JSSSTU,Mechanical Engineering,COMEDK,2024,212390,71845,12643,28027,324905,296878,No
RIT,Civil Engineering,KCET,2023,75955,76200,15743,27499,195397,167898,Yes
MSRIT,Chemical Engineering,COMEDK,2023,225785,90567,17368,16735,350455,333720,No
NHCE,Civil Engineering,COMEDK,2024,193841,77842,15423,11758,298864,287106,Yes
BMSIT,Artificial Intelligence and Data Science,COMEDK,2023,187119,82589,14105,20450,304263,283813,Yes
JSSSTU,Electronics and Communication Engineering,COMEDK,2024,168034,89865,14237,11169,283305,272136,Yes
HKBK,Robotics and Automation Engineering,KCET,2024,63380,85890,15974,10860,176104,165244,No
EastPoint,Robotics and Automation Engineering,KCET,2024,53045,71711,13143,18086,155985,137899,No
RNSIT,Chemical Engineering,KCET,2024,62511,81316,10780,12204,166811,154607,Yes
PRES,Chemical Engineering,COMEDK,2024,163681,87512,18740,18767,288700,269933,No
RVUNIV,Electronics and Communication Engineering,KCET,2024,78342,78364,19774,21940,198420,176480,Yes
KLEIT,Robotics and Automation Engineering,KCET,2023,74083,85434,11564,23133,194214,171081,Yes
JIT,Robotics and Automation Engineering,COMEDK,2023,190250,67509,14461,28600,300820,272220,Yes
NIE,Data Science,KCET,2023,77730,70045,10494,19895,178164,158269,Yes
YKCE,Artificial Intelligence and Data Science,KCET,2024,75435,81823,14951,18818,191027,172209,No
KLEIT,Civil Engineering,COMEDK,2023,186843,68898,19886,12476,288103,275627,Yes
REVA,Chemical Engineering,KCET,2024,83842,74155,15569,22024,195590,173566,No
AIT,Mechanical Engineering,COMEDK,2023,170589,66688,14965,28616,280858,252242,Yes
HKBK,Civil Engineering,KCET,2023,71315,63138,14527,24165,173145,148980,Yes
MSRUAS,Aerospace Engineering,COMEDK,2024,228761,92462,18751,19945,359919,339974,Yes
DBIT,Aerospace Engineering,KCET,2024,64687,65371,14559,10185,154802,144617,No
GMIT,Electrical and Electronics Engineering,KCET,2023,75377,76839,18815,21683,192714,171031,No
MVJCE,Computer Science and Engineering,COMEDK,2024,235616,76357,10835,22980,345788,322808,No
BMSIT,Artificial Intelligence and Data Science,KCET,2024,63201,74625,13123,10006,160955,150949,No
NHCE,Information Science and Engineering,KCET,2024,71566,72969,8116,13421,166072,152651,No
SDMIT,Civil Engineering,COMEDK,2023,223027,61597,19888,17226,321738,304512,No
RVUNIV,Electronics and Communication Engineering,KCET,2023,65983,78197,13607,18470,176257,157787,Yes
EastPoint,Biotechnology,COMEDK,2023,210930,82361,13684,13504,320479,306975,Yes
MSRIT,Biotechnology,COMEDK,2023,191951,83747,11262,19496,306456,286960,No
BIT,Aerospace Engineering,KCET,2023,66792,81344,8414,27926,184476,156550,Yes
PRES,Electrical and Electronics Engineering,KCET,2024,51927,77950,14976,14366,159219,144853,Yes
DSATM,Robotics and Automation Engineering,KCET,2023,83571,72082,19764,26563,201980,175417,No
PESU,Biotechnology,COMEDK,2024,226513,94153,18717,13700,353083,339383,No
AEC,Computer Science and Engineering,COMEDK,2023,247001,83545,11368,28070,369984,341914,No
YKCE,Biotechnology,KCET,2023,57014,68162,12829,21489,159494,138005,Yes
DSCE,Information Science and Engineering,COMEDK,2024,225594,91350,19778,23108,359830,336722,No
PESU,Biotechnology,KCET,2023,76588,78586,17422,18782,191378,172596,Yes
BITM,Electronics and Communication Engineering,KCET,2023,62413,90758,18233,17641,189045,171404,No
JNNCE,Aerospace Engineering,KCET,2024,71457,67100,13476,26156,178189,152033,No
PESU,Electrical and Electronics Engineering,KCET,2024,77689,79454,8786,27315,193244,165929,No
VVCE,Data Science,COMEDK,2024,202397,84882,9002,10145,306426,296281,Yes
NIE,Information Science and Engineering,COMEDK,2023,162093,87505,17615,27892,295105,267213,Yes
YKCE,Civil Engineering,COMEDK,2023,176121,91876,10801,13731,292529,278798,No
BMSIT,Aerospace Engineering,KCET,2024,80785,76056,12743,27036,196620,169584,Yes
JSSSTU,Electronics and Communication Engineering,KCET,2023,83522,67070,12870,25748,189210,163462,No
EastPoint,Mechanical Engineering,COMEDK,2024,240758,69896,14894,16688,342236,325548,No
AECMandya,Aerospace Engineering,COMEDK,2023,210774,81544,14630,23243,330191,306948,Yes
AEC,Aerospace Engineering,COMEDK,2023,225386,67452,19775,12771,325384,312613,Yes
SJBIT,Information Science and Engineering,KCET,2023,65450,90189,13284,28883,197806,168923,No
SCEM,Data Science,KCET,2023,83623,78123,10800,13825,186371,172546,Yes
DSATM,Mechanical Engineering,COMEDK,2023,190288,66234,9395,27590,293507,265917,Yes
JIT,Mechanical Engineering,COMEDK,2023,171822,67829,19688,10054,269393,259339,Yes
JNNCE,Artificial Intelligence and Data Science,COMEDK,2024,182099,94336,9685,13543,299663,286120,Yes
AECMandya,Mechanical Engineering,COMEDK,2023,189707,80116,18370,20167,308360,288193,No
MSRIT,Biotechnology,KCET,2023,63699,83207,18464,25521,190891,165370,Yes
NCET,Biotechnology,COMEDK,2024,199292,65790,8672,29161,302915,273754,Yes
JSSSTU,Electronics and Communication Engineering,KCET,2024,61108,64177,8117,14383,147785,133402,No
REVA,Aerospace Engineering,COMEDK,2023,242751,72275,12987,18392,346405,328013,Yes
JNNCE,Aerospace Engineering,COMEDK,2024,194257,85024,13080,27892,320253,292361,Yes
VSM,Artificial Intelligence and Data Science,COMEDK,2023,177666,77119,19051,25040,298876,273836,No
CITGubbi,Biotechnology,KCET,2023,62106,65711,13852,17678,159347,141669,No
GMIT,Chemical Engineering,COMEDK,2024,231213,65993,13276,23235,333717,310482,Yes
SITM,Computer Science and Engineering,COMEDK,2023,200387,84768,15125,13304,313584,300280,Yes
BMIT,Biotechnology,KCET,2023,75045,80791,15338,13872,185046,171174,No
BIT,Mechanical Engineering,KCET,2023,78157,81976,15823,21171,197127,175956,Yes
VSM,Electronics and Communication Engineering,COMEDK,2024,233922,88079,14971,13111,350083,336972,Yes
NCET,Civil Engineering,COMEDK,2023,164212,84427,14894,26758,290291,263533,No
GIT,Computer Science and Engineering,KCET,2024,70133,63868,18265,22134,174400,152266,No
VIT,Civil Engineering,COMEDK,2023,213636,93849,14756,27172,349413,322241,Yes
CMRIT,Mechanical Engineering,KCET,2024,77927,61876,14721,19272,173796,154524,No
JIT,Civil Engineering,COMEDK,2024,209708,63448,14730,28393,316279,287886,Yes
RIT,Civil Engineering,KCET,2024,84373,66033,16933,22038,189377,167339,No
MSRUAS,Electrical and Electronics Engineering,KCET,2024,81211,78078,9401,23383,192073,168690,No
MSRUAS,Robotics and Automation Engineering,KCET,2023,64683,61371,18854,14302,159210,144908,Yes
EastPoint,Electronics and Communication Engineering,COMEDK,2023,239181,60267,9067,25391,333906,308515,Yes
AEC,Computer Science and Engineering,KCET,2024,65423,64622,12104,25044,167193,142149,Yes
UVCE,Artificial Intelligence and Data Science,KCET,2024,75843,64441,15364,23844,179492,155648,No
BIT,Aerospace Engineering,KCET,2024,57322,84814,16351,27160,185647,158487,No
NHCE,Biotechnology,COMEDK,2023,227377,60501,16852,11370,316100,304730,Yes
SITM,Information Science and Engineering,KCET,2023,61928,74488,11845,27080,175341,148261,Yes
BITM,Electronics and Communication Engineering,KCET,2024,50072,74879,10909,15274,151134,135860,Yes
RVUNIV,Aerospace Engineering,KCET,2023,62596,89983,9168,11903,173650,161747,Yes
RVUNIV,Electrical and Electronics Engineering,KCET,2024,67491,75666,12487,23188,178832,155644,No
PRES,Civil Engineering,KCET,2023,79148,83303,16505,26460,205416,178956,Yes
VSM,Aerospace Engineering,COMEDK,2023,197934,85140,13401,12346,308821,296475,No
KSIT,Mechanical Engineering,KCET,2024,51046,75223,17479,11221,154969,143748,No
SJBIT,Computer Science and Engineering,KCET,2024,76030,93160,18742,24718,212650,187932,Yes
NHCE,Robotics and Automation Engineering,KCET,2024,53500,90865,10379,17528,172272,154744,No
NIE,Civil Engineering,KCET,2024,53893,64861,11694,13177,143625,130448,Yes
UVCE,Robotics and Automation Engineering,COMEDK,2024,229228,66210,13260,13171,321869,308698,No
PESU,Biotechnology,COMEDK,2023,189644,60682,14561,24529,289416,264887,Yes
CITGubbi,Mechanical Engineering,KCET,2024,75098,80145,15460,17490,188193,170703,No
JSSSTU,Data Science,COMEDK,2023,195360,86699,19767,23490,325316,301826,No
UVCE,Computer Science and Engineering,COMEDK,2024,239959,89070,11676,15950,356655,340705,No
NMIT,Artificial Intelligence and Data Science,COMEDK,2024,174273,62249,11293,20080,267895,247815,No
NIE,Data Science,COMEDK,2023,234360,73694,19172,11377,338603,327226,Yes
NCET,Electronics and Communication Engineering,COMEDK,2024,237934,63889,16972,28892,347687,318795,No
EastPoint,Information Science and Engineering,COMEDK,2024,196036,71180,18161,16924,302301,285377,Yes
AECMandya,Aerospace Engineering,KCET,2024,76665,88153,9966,23178,197962,174784,No
NCET,Electronics and Communication Engineering,COMEDK,2023,184264,63818,8181,15120,271383,256263,No
VVIT,Civil Engineering,KCET,2023,64268,61296,19343,10141,155048,144907,Yes
NIE,Chemical Engineering,KCET,2024,72813,73251,12201,28828,187093,158265,No
DrAIT,Biotechnology,COMEDK,2023,234829,70129,13849,19526,338333,318807,Yes
AITM,Mechanical Engineering,KCET,2023,59979,60576,11774,28117,160446,132329,Yes
SDMIT,Artificial Intelligence and Data Science,COMEDK,2023,208394,61154,18853,24528,312929,288401,Yes
UVCE,Artificial Intelligence and Data Science,COMEDK,2023,197881,93352,13050,10757,315040,304283,Yes
YKCE,Civil Engineering,COMEDK,2023,183543,87362,13836,12386,297127,284741,No
DBIT,Computer Science and Engineering,COMEDK,2024,249552,90183,18614,23210,381559,358349,Yes
GIT,Computer Science and Engineering,KCET,2024,81711,81259,16164,21919,201053,179134,Yes
AEC,Electronics and Communication Engineering,COMEDK,2023,239069,82133,14770,23707,359679,335972,Yes
NHCE,Computer Science and Engineering,COMEDK,2023,213430,87158,9007,23939,333534,309595,No
SJBCE,Artificial Intelligence and Data Science,COMEDK,2024,207915,92178,19655,16708,336456,319748,No
DBIT,Biotechnology,KCET,2023,65404,62645,18873,12135,159057,146922,Yes
VSM,Robotics and Automation Engineering,KCET,2024,70494,73576,15222,29322,188614,159292,No
GIT,Civil Engineering,COMEDK,2024,192763,81971,17943,25389,318066,292677,No
GIT,Civil Engineering,COMEDK,2023,189904,65221,10407,24488,290020,265532,No
DBIT,Artificial Intelligence and Data Science,COMEDK,2023,248232,88751,13020,24782,374785,350003,No
PESCE,Aerospace Engineering,COMEDK,2024,220695,93414,9753,20906,344768,323862,Yes
SDMIT,Data Science,KCET,2023,60542,76915,11267,23270,171994,148724,Yes
DrAIT,Electronics and Communication Engineering,KCET,2024,83170,85345,16859,20385,205759,185374,No
DrAIT,Electrical and Electronics Engineering,COMEDK,2024,203069,80946,12876,20313,317204,296891,No
AECMandya,Artificial Intelligence and Data Science,COMEDK,2024,215416,75064,9333,24067,323880,299813,Yes
RNSIT,Chemical Engineering,COMEDK,2024,193047,82439,16509,21590,313585,291995,No
CMRIT,Civil Engineering,KCET,2024,59751,85668,9458,17599,172476,154877,Yes
VemanaIT,Computer Science and Engineering,KCET,2024,66511,65442,17876,19006,168835,149829,Yes
KSIT,Robotics and Automation Engineering,KCET,2023,62469,66328,11331,22853,162981,140128,No
AEC,Information Science and Engineering,COMEDK,2023,208993,69498,9871,29835,318197,288362,No
NHCE,Mechanical Engineering,COMEDK,2023,231011,62262,16155,24127,333555,309428,No
CMRIT,Aerospace Engineering,KCET,2023,81564,92716,17046,28063,219389,191326,Yes
DrAIT,Aerospace Engineering,COMEDK,2024,211063,94715,16706,18167,340651,322484,No
VVCE,Chemical Engineering,KCET,2024,69815,86618,9493,13412,179338,165926,No
RVCE,Information Science and Engineering,COMEDK,2023,191451,60600,11118,21037,284206,263169,No
JIT,Mechanical Engineering,KCET,2023,71705,79536,15370,17448,184059,166611,Yes
RAIT,Information Science and Engineering,COMEDK,2023,161992,84998,18999,16170,282159,265989,No
REVA,Robotics and Automation Engineering,KCET,2024,84187,69133,17097,24903,195320,170417,No
BMSCE,Electrical and Electronics Engineering,KCET,2024,73962,90400,19722,21107,205191,184084,No
BITM,Information Science and Engineering,COMEDK,2023,208209,61765,17885,26520,314379,287859,No
HKBK,Computer Science and Engineering,COMEDK,2024,179823,91109,9849,11531,292312,280781,Yes
KLEIT,Robotics and Automation Engineering,COMEDK,2023,203186,70485,14849,26979,315499,288520,No
GMIT,Aerospace Engineering,KCET,2023,60851,93127,14929,17394,186301,168907,No
SDMCET,Electrical and Electronics Engineering,COMEDK,2023,233547,68596,17874,12017,332034,320017,No
NIE,Aerospace Engineering,COMEDK,2023,212919,92131,17615,19321,341986,322665,Yes
ACU,Artificial Intelligence and Data Science,KCET,2024,80423,83182,12257,29850,205712,175862,Yes
MSRUAS,Civil Engineering,KCET,2023,84498,67595,13201,24739,190033,165294,Yes
RAIT,Information Science and Engineering,KCET,2024,80470,70640,18742,18502,188354,169852,No
SDMIT,Computer Science and Engineering,COMEDK,2023,188584,71238,11700,10100,281622,271522,No
DBIT,Computer Science and Engineering,KCET,2024,71132,87488,11092,10655,180367,169712,Yes
VVCE,Robotics and Automation Engineering,COMEDK,2024,177397,62930,15127,16827,272281,255454,Yes
KLSGIT,Computer Science and Engineering,KCET,2024,79357,75256,16688,29885,201186,171301,No
DSATM,Mechanical Engineering,COMEDK,2024,182259,91684,13654,23285,310882,287597,Yes
GIT,Chemical Engineering,COMEDK,2023,235466,74840,8131,18146,336583,318437,No
EastPoint,Mechanical Engineering,COMEDK,2023,192775,93584,18365,23419,328143,304724,No
JSSSTU,Artificial Intelligence and Data Science,KCET,2023,63489,94417,16633,15247,189786,174539,Yes
NCET,Robotics and Automation Engineering,COMEDK,2023,176453,67535,11632,14443,270063,255620,Yes
RNSIT,Robotics and Automation Engineering,KCET,2023,55376,70791,16763,19208,162138,142930,No
SIT,Mechanical Engineering,KCET,2024,78200,68235,9996,23718,180149,156431,Yes
SIT,Data Science,KCET,2024,68787,79212,10372,28327,186698,158371,No
AECMandya,Computer Science and Engineering,COMEDK,2023,236629,72246,12299,19900,341074,321174,No
JSSSTU,Artificial Intelligence and Data Science,KCET,2024,65811,80065,8039,29626,183541,153915,No
RIT,Aerospace Engineering,KCET,2023,61381,81950,10391,26859,180581,153722,No
AIT,Chemical Engineering,COMEDK,2024,202839,71935,17285,12169,304228,292059,Yes
GMIT,Electronics and Communication Engineering,COMEDK,2023,161961,74390,17001,22458,275810,253352,No
RIT,Biotechnology,COMEDK,2024,165382,72117,14339,13838,265676,251838,Yes
SITM,Mechanical Engineering,COMEDK,2023,228629,74211,11800,10290,324930,314640,No
JIT,Electronics and Communication Engineering,KCET,2023,76222,71731,19026,18514,185493,166979,Yes
BNMIT,Robotics and Automation Engineering,COMEDK,2023,217048,72828,19593,13021,322490,309469,No
UVCE,Electronics and Communication Engineering,KCET,2024,71023,77785,10551,26693,186052,159359,No
DBIT,Civil Engineering,COMEDK,2024,219092,88390,14465,24561,346508,321947,No
AECMandya,Chemical Engineering,COMEDK,2023,244476,84991,9734,12204,351405,339201,No
RVCE,Data Science,KCET,2023,53631,63595,14876,17072,149174,132102,Yes
SCEM,Artificial Intelligence and Data Science,COMEDK,2023,220333,94259,16015,19959,350566,330607,Yes
NHCE,Aerospace Engineering,COMEDK,2024,243143,64220,14520,14875,336758,321883,Yes
BNMIT,Biotechnology,KCET,2024,51103,70373,14381,11748,147605,135857,No
JNNCE,Mechanical Engineering,KCET,2023,72098,89009,12694,24817,198618,173801,No
RNSIT,Electrical and Electronics Engineering,KCET,2024,62402,75755,8405,25767,172329,146562,Yes
BMSCE,Biotechnology,KCET,2023,59824,65045,10825,21755,157449,135694,No
RVCE,Information Science and Engineering,COMEDK,2024,224925,71959,18235,23444,338563,315119,Yes
SITM,Biotechnology,KCET,2024,75999,89271,11075,24597,200942,176345,Yes
AIT,Electronics and Communication Engineering,COMEDK,2024,174959,67296,18345,20412,281012,260600,No
DrAIT,Computer Science and Engineering,KCET,2023,64266,62592,11143,24223,162224,138001,Yes
VVIT,Electronics and Communication Engineering,KCET,2024,61007,60258,17411,28969,167645,138676,No
CITGubbi,Electrical and Electronics Engineering,COMEDK,2023,234084,87797,13001,18585,353467,334882,No
VemanaIT,Artificial Intelligence and Data Science,KCET,2023,57163,84835,15253,29911,187162,157251,No
JSSSTU,Civil Engineering,KCET,2023,53515,77511,18343,26336,175705,149369,No
AECMandya,Civil Engineering,KCET,2024,79933,92950,9725,20575,203183,182608,Yes
NIE,Mechanical Engineering,KCET,2023,51708,92068,15539,13820,173135,159315,Yes
PESCE,Information Science and Engineering,COMEDK,2024,171366,71361,10767,24240,277734,253494,Yes
BIT,Chemical Engineering,KCET,2024,76696,80467,17573,10612,185348,174736,No
KLEIT,Mechanical Engineering,COMEDK,2024,174808,90797,10262,18383,294250,275867,Yes
