College,Branch,Category,Exam,Year,Total_Seats
NMIT,Computer Science and Engineering,SC,KCET,2023,31
BMSIT,Data Science,OBC,COMEDK,2024,32
DBIT,Mechanical Engineering,Tulu,KCET,2023,14
KSIT,Robotics and Automation Engineering,GM,COMEDK,2023,7
VSM,Data Science,Tulu,COMEDK,2024,35
BNMIT,Electrical and Electronics Engineering,OBC,COMEDK,2023,15
PESCE,Biotechnology,GM,KCET,2024,53
SITM,Chemical Engineering,GM,COMEDK,2023,17
MSRUAS,Biotechnology,GM,COMEDK,2023,7
VVIT,Biotechnology,GM,COMEDK,2024,37
BMSCE,Electrical and Electronics Engineering,OBC,COMEDK,2024,39
AECMandya,Data Science,OBC,KCET,2024,44
NMIT,Data Science,GM,COMEDK,2023,13
GMIT,Biotechnology,Tulu,COMEDK,2023,17
NIE,Electrical and Electronics Engineering,OBC,KCET,2024,20
PESU,Computer Science and Engineering,GM,KCET,2023,19
NIE,Artificial Intelligence and Data Science,SC,COMEDK,2024,43
JNNCE,Mechanical Engineering,GM,COMEDK,2023,11
SDMIT,Robotics and Automation Engineering,GM,COMEDK,2024,51
VVCE,Aerospace Engineering,SC,KCET,2023,12
RVCE,Robotics and Automation Engineering,GM,KCET,2024,56
BNMIT,Computer Science and Engineering,GM,KCET,2023,29
BMSCE,Data Science,Christian,COMEDK,2024,51
VSM,Electrical and Electronics Engineering,Tulu,COMEDK,2023,43
RIT,Biotechnology,Tulu,COMEDK,2024,21
ACU,Computer Science and Engineering,OBC,COMEDK,2023,39
BIT,Chemical Engineering,Christian,KCET,2023,42
DrAIT,Information Science and Engineering,Tulu,KCET,2023,51
BMIT,Electronics and Communication Engineering,ST,COMEDK,2024,49
KLSGIT,Computer Science and Engineering,Christian,KCET,2023,6
GMIT,Biotechnology,GM,COMEDK,2024,33
AEC,Information Science and Engineering,GM,KCET,2024,58
KSIT,Computer Science and Engineering,Christian,COMEDK,2023,29
AECMandya,Chemical Engineering,OBC,KCET,2024,33
DSCE,Information Science and Engineering,ST,KCET,2023,20
SDMIT,Robotics and Automation Engineering,SC,COMEDK,2024,41
RVCE,Biotechnology,Tulu,KCET,2023,58
ACU,Mechanical Engineering,Christian,KCET,2023,45
DSATM,Aerospace Engineering,ST,KCET,2024,32
HKBK,Aerospace Engineering,OBC,COMEDK,2023,59
NHCE,Information Science and Engineering,GM,KCET,2024,27
HKBK,Robotics and Automation Engineering,OBC,KCET,2023,51
KSIT,Robotics and Automation Engineering,Christian,KCET,2024,22
EastPoint,Aerospace Engineering,Tulu,COMEDK,2024,11
PESCE,Electrical and Electronics Engineering,Tulu,COMEDK,2023,57
HKBK,Chemical Engineering,Christian,KCET,2023,15
AECMandya,Biotechnology,Christian,COMEDK,2023,40
MSRIT,Computer Science and Engineering,Tulu,KCET,2023,52
GMIT,Electrical and Electronics Engineering,ST,KCET,2024,54
PRES,Information Science and Engineering,OBC,COMEDK,2024,52
GIT,Aerospace Engineering,OBC,KCET,2023,52
KLSGIT,Civil Engineering,Tulu,COMEDK,2024,42
JIT,Biotechnology,Tulu,KCET,2024,36
GIT,Chemical Engineering,OBC,KCET,2024,13
BMSIT,Robotics and Automation Engineering,Tulu,KCET,2024,54
BMSCE,Aerospace Engineering,SC,COMEDK,2023,16
JSSSTU,Data Science,ST,COMEDK,2024,17
VemanaIT,Biotechnology,Christian,COMEDK,2023,43
GIT,Data Science,GM,KCET,2024,26
AIT,Chemical Engineering,Christian,KCET,2023,7
RIT,Aerospace Engineering,Christian,COMEDK,2023,46
SDMCET,Electrical and Electronics Engineering,Tulu,COMEDK,2024,39
AIT,Biotechnology,SC,KCET,2024,36
CITGubbi,Robotics and Automation Engineering,ST,COMEDK,2023,60
MSRUAS,Electronics and Communication Engineering,Tulu,COMEDK,2023,10
AITM,Computer Science and Engineering,Tulu,COMEDK,2023,24
CITGubbi,Electrical and Electronics Engineering,Tulu,COMEDK,2023,38
NCET,Civil Engineering,OBC,KCET,2023,20
JIT,Electrical and Electronics Engineering,Christian,COMEDK,2024,31
VIT,Aerospace Engineering,Tulu,COMEDK,2024,23
EastPoint,Aerospace Engineering,GM,KCET,2023,47
NIE,Biotechnology,OBC,KCET,2024,21
MVJCE,Computer Science and Engineering,OBC,COMEDK,2023,59
BMSIT,Artificial Intelligence and Data Science,GM,COMEDK,2024,50
JNNCE,Civil Engineering,OBC,KCET,2023,15
RVUNIV,Chemical Engineering,Christian,COMEDK,2023,49
NMIT,Data Science,SC,COMEDK,2023,27
SCEM,Chemical Engineering,Tulu,COMEDK,2023,22
RVUNIV,Robotics and Automation Engineering,Christian,COMEDK,2023,54
JNNCE,Data Science,Christian,KCET,2023,28
VVIT,Electrical and Electronics Engineering,OBC,KCET,2024,46
PRES,Aerospace Engineering,GM,COMEDK,2023,8
VIT,Chemical Engineering,Christian,KCET,2023,52
AIT,Computer Science and Engineering,SC,KCET,2023,11
BMSCE,Data Science,GM,COMEDK,2024,28
DSCE,Mechanical Engineering,SC,COMEDK,2024,58
KSIT,Electronics and Communication Engineering,Tulu,KCET,2023,25
PESCE,Mechanical Engineering,ST,COMEDK,2023,53
JNNCE,Mechanical Engineering,ST,COMEDK,2023,9
HKBK,Artificial Intelligence and Data Science,Tulu,KCET,2024,29
RAIT,Robotics and Automation Engineering,Christian,KCET,2023,21
GMIT,Electronics and Communication Engineering,Christian,COMEDK,2023,27
RNSIT,Robotics and Automation Engineering,OBC,KCET,2024,14
RAIT,Civil Engineering,Christian,COMEDK,2024,60
RNSIT,Information Science and Engineering,SC,KCET,2024,15
BMSCE,Biotechnology,SC,KCET,2024,16
KLSGIT,Electrical and Electronics Engineering,OBC,COMEDK,2023,42
JSSSTU,Biotechnology,Christian,COMEDK,2023,10
SITM,Data Science,SC,KCET,2024,40
VVCE,Civil Engineering,GM,KCET,2024,9
RVCE,Mechanical Engineering,Tulu,KCET,2024,43
CMRIT,Mechanical Engineering,SC,COMEDK,2023,49
SIT,Computer Science and Engineering,Christian,COMEDK,2024,36
NMIT,Artificial Intelligence and Data Science,SC,COMEDK,2023,12
DSCE,Artificial Intelligence and Data Science,Tulu,COMEDK,2024,49
JSSSTU,Chemical Engineering,Christian,KCET,2024,22
RVCE,Information Science and Engineering,SC,COMEDK,2024,21
YKCE,Aerospace Engineering,Christian,COMEDK,2023,54
JIT,Robotics and Automation Engineering,ST,COMEDK,2024,25
VemanaIT,Electronics and Communication Engineering,OBC,KCET,2024,31
CMRIT,Artificial Intelligence and Data Science,ST,COMEDK,2023,41
MVJCE,Robotics and Automation Engineering,SC,COMEDK,2024,12
RVUNIV,Chemical Engineering,Christian,KCET,2024,54
RVUNIV,Artificial Intelligence and Data Science,Tulu,COMEDK,2024,13
KLEIT,Computer Science and Engineering,GM,COMEDK,2024,26
VSM,Biotechnology,ST,KCET,2023,36
SITM,Aerospace Engineering,OBC,COMEDK,2023,39
DSCE,Computer Science and Engineering,OBC,KCET,2023,24
SJBIT,Mechanical Engineering,ST,KCET,2023,21
RVCE,Computer Science and Engineering,ST,COMEDK,2024,23
YKCE,Computer Science and Engineering,Christian,COMEDK,2024,38
JIT,Electrical and Electronics Engineering,GM,COMEDK,2023,6
SITM,Biotechnology,SC,KCET,2023,55
AEC,Computer Science and Engineering,ST,COMEDK,2023,39
NMIT,Data Science,OBC,COMEDK,2023,23
CITGubbi,Computer Science and Engineering,Christian,KCET,2024,46
DBIT,Electronics and Communication Engineering,GM,KCET,2024,53
RIT,Electronics and Communication Engineering,ST,KCET,2023,39
PESCE,Biotechnology,OBC,COMEDK,2024,6
DBIT,Information Science and Engineering,OBC,COMEDK,2023,22
GIT,Civil Engineering,ST,KCET,2023,40
NMIT,Chemical Engineering,OBC,COMEDK,2024,59
BITM,Artificial Intelligence and Data Science,ST,COMEDK,2023,13
SJBCE,Civil Engineering,Tulu,COMEDK,2023,18
BNMIT,Electronics and Communication Engineering,Christian,KCET,2024,31
RNSIT,Biotechnology,SC,KCET,2024,19
DSATM,Electronics and Communication Engineering,Christian,KCET,2023,42
CITGubbi,Data Science,GM,COMEDK,2023,36
AEC,Electronics and Communication Engineering,Christian,KCET,2023,48
PESCE,Information Science and Engineering,ST,KCET,2023,44
AITM,Mechanical Engineering,ST,KCET,2023,7
JIT,Civil Engineering,Tulu,KCET,2024,36
ACU,Data Science,OBC,COMEDK,2024,50
NHCE,Chemical Engineering,GM,KCET,2024,21
MSRUAS,Civil Engineering,Christian,COMEDK,2023,55
MVJCE,Biotechnology,OBC,COMEDK,2023,35
RVUNIV,Computer Science and Engineering,ST,KCET,2024,51
SDMCET,Data Science,SC,KCET,2023,52
JNNCE,Information Science and Engineering,ST,KCET,2024,42
BIT,Civil Engineering,GM,COMEDK,2024,30
BNMIT,Electrical and Electronics Engineering,Tulu,KCET,2024,51
BMIT,Electrical and Electronics Engineering,GM,COMEDK,2024,19
AITM,Civil Engineering,SC,COMEDK,2023,31
PESCE,Data Science,SC,KCET,2023,30
MVJCE,Artificial Intelligence and Data Science,OBC,KCET,2023,25
DrAIT,Electronics and Communication Engineering,GM,KCET,2023,44
SCEM,Civil Engineering,OBC,COMEDK,2024,7
VSM,Biotechnology,GM,KCET,2023,31
PESCE,Computer Science and Engineering,GM,COMEDK,2023,33
GIT,Electronics and Communication Engineering,SC,COMEDK,2023,10
VVIT,Electrical and Electronics Engineering,OBC,COMEDK,2023,16
RVUNIV,Information Science and Engineering,OBC,KCET,2024,52
SITM,Chemical Engineering,SC,COMEDK,2024,23
SJBCE,Artificial Intelligence and Data Science,GM,KCET,2024,33
GMIT,Computer Science and Engineering,Tulu,KCET,2024,30
DBIT,Aerospace Engineering,Tulu,COMEDK,2023,15
VemanaIT,Civil Engineering,GM,KCET,2023,47
NMIT,Information Science and Engineering,Tulu,KCET,2023,29
DSATM,Robotics and Automation Engineering,OBC,KCET,2023,17
MVJCE,Data Science,Christian,COMEDK,2024,44
PESCE,Computer Science and Engineering,ST,KCET,2023,38
NCET,Computer Science and Engineering,GM,COMEDK,2023,41
AITM,Computer Science and Engineering,Tulu,KCET,2024,7
RVCE,Electrical and Electronics Engineering,SC,COMEDK,2024,39
YKCE,Chemical Engineering,Christian,COMEDK,2024,9
BMSCE,Civil Engineering,GM,KCET,2023,57
PRES,Electrical and Electronics Engineering,Tulu,COMEDK,2024,14
KSIT,Computer Science and Engineering,SC,COMEDK,2024,55
SITM,Electronics and Communication Engineering,SC,COMEDK,2023,48
KLEIT,Information Science and Engineering,Tulu,COMEDK,2023,58
VemanaIT,Mechanical Engineering,OBC,KCET,2024,27
REVA,Mechanical Engineering,Christian,KCET,2023,32
DSCE,Civil Engineering,Tulu,COMEDK,2023,58
NHCE,Computer Science and Engineering,OBC,KCET,2024,51
SIT,Biotechnology,OBC,KCET,2023,23
MSRUAS,Chemical Engineering,Christian,KCET,2023,17
JNNCE,Biotechnology,GM,KCET,2024,29
DSATM,Mechanical Engineering,GM,COMEDK,2023,51
GMIT,Robotics and Automation Engineering,GM,KCET,2024,13
DrAIT,Information Science and Engineering,SC,COMEDK,2024,59
REVA,Data Science,Christian,COMEDK,2023,34
YKCE,Chemical Engineering,SC,KCET,2023,23
JNNCE,Aerospace Engineering,GM,COMEDK,2023,31
KLEIT,Data Science,OBC,COMEDK,2024,35
AIT,Chemical Engineering,SC,KCET,2023,43
NHCE,Aerospace Engineering,ST,COMEDK,2023,7
AIT,Mechanical Engineering,SC,KCET,2023,59
BMSCE,Aerospace Engineering,OBC,COMEDK,2024,22
AEC,Data Science,GM,KCET,2024,53
UVCE,Information Science and Engineering,Tulu,COMEDK,2023,27
CMRIT,Biotechnology,SC,KCET,2024,56
GIT,Robotics and Automation Engineering,Tulu,COMEDK,2024,24
AEC,Electronics and Communication Engineering,SC,KCET,2024,40
CITGubbi,Mechanical Engineering,SC,COMEDK,2024,31
MVJCE,Civil Engineering,Christian,KCET,2023,56
BIT,Robotics and Automation Engineering,SC,KCET,2023,46
MVJCE,Robotics and Automation Engineering,Tulu,KCET,2023,25
JSSSTU,Mechanical Engineering,GM,KCET,2024,29
BNMIT,Data Science,Christian,KCET,2024,15
NMIT,Electrical and Electronics Engineering,Tulu,KCET,2024,39
UVCE,Information Science and Engineering,Tulu,COMEDK,2024,60
AIT,Civil Engineering,Tulu,COMEDK,2023,55
PRES,Aerospace Engineering,GM,COMEDK,2024,29
BMSIT,Electrical and Electronics Engineering,Tulu,COMEDK,2023,36
SCEM,Information Science and Engineering,ST,COMEDK,2023,24
PRES,Chemical Engineering,Christian,KCET,2023,6
REVA,Mechanical Engineering,Tulu,KCET,2024,11
NIE,Mechanical Engineering,OBC,KCET,2023,34
BMIT,Information Science and Engineering,ST,KCET,2024,23
JIT,Artificial Intelligence and Data Science,Christian,KCET,2023,28
DrAIT,Civil Engineering,GM,KCET,2024,29
NIE,Data Science,OBC,COMEDK,2023,35
SDMIT,Artificial Intelligence and Data Science,OBC,KCET,2024,44
BITM,Robotics and Automation Engineering,OBC,KCET,2024,60
BIT,Civil Engineering,SC,COMEDK,2023,10
MVJCE,Biotechnology,SC,COMEDK,2024,47
JSSSTU,Mechanical Engineering,ST,KCET,2023,19
RVCE,Aerospace Engineering,OBC,COMEDK,2024,40
VVIT,Electronics and Communication Engineering,SC,COMEDK,2023,14
RIT,Biotechnology,OBC,COMEDK,2024,6
DSATM,Civil Engineering,Tulu,COMEDK,2024,39
RIT,Robotics and Automation Engineering,SC,KCET,2024,20
BITM,Chemical Engineering,Christian,COMEDK,2023,23
NCET,Artificial Intelligence and Data Science,GM,KCET,2023,48
MVJCE,Aerospace Engineering,ST,COMEDK,2024,20
HKBK,Biotechnology,GM,COMEDK,2023,49
VemanaIT,Electrical and Electronics Engineering,SC,COMEDK,2023,50
RAIT,Electrical and Electronics Engineering,Tulu,KCET,2023,32
SJBCE,Computer Science and Engineering,SC,COMEDK,2024,43
CITGubbi,Information Science and Engineering,Tulu,KCET,2024,8
KLEIT,Artificial Intelligence and Data Science,OBC,COMEDK,2024,29
JNNCE,Electrical and Electronics Engineering,GM,KCET,2023,41
KLSGIT,Robotics and Automation Engineering,Tulu,KCET,2024,57
NMIT,Mechanical Engineering,SC,KCET,2023,39
DrAIT,Civil Engineering,GM,COMEDK,2023,45
DBIT,Information Science and Engineering,Christian,COMEDK,2024,25
RIT,Robotics and Automation Engineering,GM,COMEDK,2023,32
CITGubbi,Electrical and Electronics Engineering,Christian,COMEDK,2024,10
DSCE,Computer Science and Engineering,SC,KCET,2023,20
AIT,Electrical and Electronics Engineering,Christian,KCET,2023,13
UVCE,Biotechnology,GM,KCET,2023,49
GMIT,Electrical and Electronics Engineering,Christian,COMEDK,2024,6
MVJCE,Aerospace Engineering,Tulu,COMEDK,2023,30
PESCE,Mechanical Engineering,Tulu,KCET,2024,46
RVCE,Civil Engineering,ST,COMEDK,2024,57
VIT,Chemical Engineering,OBC,KCET,2024,25
EastPoint,Chemical Engineering,OBC,COMEDK,2024,47
SDMIT,Data Science,Christian,KCET,2024,51
BMSIT,Civil Engineering,Christian,KCET,2024,44
VSM,Artificial Intelligence and Data Science,SC,KCET,2024,42
DSCE,Biotechnology,SC,COMEDK,2024,21
SITM,Information Science and Engineering,Christian,KCET,2023,56
KLSGIT,Electronics and Communication Engineering,GM,COMEDK,2024,25
GIT,Data Science,OBC,COMEDK,2024,19
DSCE,Robotics and Automation Engineering,OBC,KCET,2024,59
RVUNIV,Computer Science and Engineering,SC,KCET,2024,39
GIT,Data Science,Christian,COMEDK,2024,55
BNMIT,Computer Science and Engineering,Tulu,KCET,2023,39
GMIT,Chemical Engineering,Tulu,COMEDK,2024,50
SDMIT,Chemical Engineering,ST,KCET,2024,10
PRES,Biotechnology,GM,COMEDK,2023,29
KLEIT,Mechanical Engineering,GM,KCET,2023,21
PESU,Data Science,OBC,COMEDK,2024,42
SJBIT,Information Science and Engineering,SC,KCET,2024,17
RAIT,Electronics and Communication Engineering,GM,COMEDK,2023,25
BNMIT,Information Science and Engineering,Christian,KCET,2024,52
DSCE,Computer Science and Engineering,GM,COMEDK,2023,53
BMIT,Artificial Intelligence and Data Science,GM,KCET,2023,19
SCEM,Chemical Engineering,ST,COMEDK,2024,37
RVCE,Chemical Engineering,SC,COMEDK,2023,13
MVJCE,Artificial Intelligence and Data Science,GM,KCET,2024,29
NIE,Artificial Intelligence and Data Science,GM,COMEDK,2023,16
KSIT,Electronics and Communication Engineering,OBC,KCET,2023,25
BMIT,Information Science and Engineering,SC,KCET,2024,47
DSCE,Chemical Engineering,Tulu,COMEDK,2024,28
NHCE,Electrical and Electronics Engineering,Tulu,COMEDK,2024,18
BMSIT,Civil Engineering,GM,COMEDK,2023,6
NHCE,Biotechnology,SC,COMEDK,2024,42
BMIT,Biotechnology,ST,KCET,2024,24
AITM,Robotics and Automation Engineering,Tulu,COMEDK,2023,8
NMIT,Electrical and Electronics Engineering,OBC,KCET,2024,8
SDMCET,Civil Engineering,GM,COMEDK,2024,58
VVCE,Data Science,SC,KCET,2023,48
BMSCE,Chemical Engineering,GM,KCET,2024,60
SCEM,Artificial Intelligence and Data Science,Tulu,COMEDK,2024,43
VVIT,Data Science,Christian,COMEDK,2024,14
PRES,Mechanical Engineering,SC,KCET,2023,27
BIT,Biotechnology,SC,KCET,2023,36
MSRIT,Aerospace Engineering,Tulu,KCET,2024,46
SJBIT,Electrical and Electronics Engineering,SC,COMEDK,2024,40
DrAIT,Computer Science and Engineering,OBC,COMEDK,2024,43
AITM,Artificial Intelligence and Data Science,GM,KCET,2023,56
EastPoint,Data Science,Tulu,COMEDK,2024,47
PRES,Computer Science and Engineering,OBC,COMEDK,2023,25
DSCE,Information Science and Engineering,SC,COMEDK,2023,26
YKCE,Biotechnology,Tulu,COMEDK,2024,60
PESU,Computer Science and Engineering,Christian,COMEDK,2024,53
REVA,Computer Science and Engineering,Christian,COMEDK,2023,22
YKCE,Data Science,ST,KCET,2024,23
JNNCE,Information Science and Engineering,GM,KCET,2023,54
NHCE,Data Science,OBC,KCET,2023,25
AECMandya,Computer Science and Engineering,Christian,KCET,2023,29
NCET,Artificial Intelligence and Data Science,SC,COMEDK,2023,60
VVIT,Biotechnology,Christian,KCET,2023,44
ACU,Computer Science and Engineering,GM,COMEDK,2024,40
PRES,Information Science and Engineering,SC,KCET,2023,59
NHCE,Robotics and Automation Engineering,Christian,KCET,2023,27
VemanaIT,Robotics and Automation Engineering,SC,KCET,2024,17
MSRUAS,Aerospace Engineering,SC,KCET,2023,23
VemanaIT,Artificial Intelligence and Data Science,GM,KCET,2024,55
AECMandya,Computer Science and Engineering,Christian,COMEDK,2024,39
MSRUAS,Chemical Engineering,SC,KCET,2024,16
MVJCE,Artificial Intelligence and Data Science,SC,COMEDK,2024,39
PESU,Information Science and Engineering,Christian,KCET,2024,32
SIT,Mechanical Engineering,SC,KCET,2024,13
CMRIT,Civil Engineering,Tulu,KCET,2024,27
BMSCE,Civil Engineering,Christian,KCET,2024,34
JSSSTU,Electrical and Electronics Engineering,ST,COMEDK,2023,47
AECMandya,Mechanical Engineering,SC,KCET,2023,28
VVCE,Electrical and Electronics Engineering,Christian,KCET,2024,54
BNMIT,Mechanical Engineering,Christian,KCET,2024,42
MSRUAS,Electrical and Electronics Engineering,ST,COMEDK,2024,9
VIT,Mechanical Engineering,OBC,COMEDK,2024,10
NCET,Civil Engineering,GM,KCET,2023,36
KSIT,Mechanical Engineering,ST,KCET,2024,13
SITM,Chemical Engineering,Tulu,COMEDK,2023,44
VVCE,Mechanical Engineering,Christian,KCET,2023,59
RAIT,Biotechnology,GM,COMEDK,2023,33
JNNCE,Electrical and Electronics Engineering,SC,COMEDK,2023,55
SITM,Biotechnology,GM,COMEDK,2024,9
BIT,Robotics and Automation Engineering,Christian,KCET,2023,28
GIT,Information Science and Engineering,Tulu,COMEDK,2024,18
SJBIT,Electronics and Communication Engineering,Christian,COMEDK,2024,58
BMSIT,Electrical and Electronics Engineering,OBC,KCET,2024,44
NMIT,Artificial Intelligence and Data Science,GM,KCET,2024,29
PESCE,Civil Engineering,SC,KCET,2023,53
CITGubbi,Artificial Intelligence and Data Science,GM,KCET,2023,7
BMSIT,Robotics and Automation Engineering,GM,KCET,2023,16
BMSCE,Computer Science and Engineering,SC,COMEDK,2024,49
KLEIT,Electrical and Electronics Engineering,Christian,KCET,2024,33
BMIT,Information Science and Engineering,SC,COMEDK,2023,7
SJBIT,Civil Engineering,ST,KCET,2023,6
NIE,Artificial Intelligence and Data Science,Tulu,KCET,2023,39
ACU,Mechanical Engineering,ST,COMEDK,2024,59
BNMIT,Electrical and Electronics Engineering,GM,KCET,2023,47
RAIT,Aerospace Engineering,GM,COMEDK,2023,20
SIT,Electronics and Communication Engineering,Christian,COMEDK,2023,16
VIT,Computer Science and Engineering,GM,COMEDK,2024,50
MVJCE,Biotechnology,SC,KCET,2024,15
BNMIT,Chemical Engineering,SC,KCET,2023,53
KLSGIT,Robotics and Automation Engineering,Tulu,COMEDK,2023,10
DSATM,Artificial Intelligence and Data Science,Tulu,COMEDK,2023,17
SCEM,Aerospace Engineering,Christian,COMEDK,2024,10
SIT,Information Science and Engineering,ST,KCET,2023,6
VVCE,Information Science and Engineering,ST,KCET,2023,14
AEC,Robotics and Automation Engineering,Christian,KCET,2024,35
BNMIT,Robotics and Automation Engineering,GM,COMEDK,2023,40
SITM,Chemical Engineering,Christian,KCET,2024,10
HKBK,Electrical and Electronics Engineering,ST,KCET,2023,45
SITM,Chemical Engineering,SC,COMEDK,2023,9
KLSGIT,Civil Engineering,OBC,KCET,2023,11
PESU,Information Science and Engineering,ST,COMEDK,2023,6
RVUNIV,Data Science,OBC,KCET,2024,6
JIT,Artificial Intelligence and Data Science,OBC,KCET,2024,31
BMIT,Aerospace Engineering,ST,KCET,2024,34
RVCE,Mechanical Engineering,Christian,COMEDK,2024,53
VVIT,Mechanical Engineering,OBC,KCET,2023,21
MVJCE,Data Science,GM,COMEDK,2024,21
NCET,Computer Science and Engineering,Christian,COMEDK,2024,59
JIT,Chemical Engineering,SC,KCET,2023,17
DrAIT,Electronics and Communication Engineering,GM,COMEDK,2024,27
JSSSTU,Aerospace Engineering,SC,KCET,2023,43
UVCE,Chemical Engineering,Tulu,COMEDK,2024,9
VVCE,Mechanical Engineering,ST,COMEDK,2024,25
GIT,Artificial Intelligence and Data Science,ST,COMEDK,2023,40
NIE,Information Science and Engineering,ST,COMEDK,2024,36
AECMandya,Robotics and Automation Engineering,ST,KCET,2024,21
ACU,Information Science and Engineering,Christian,KCET,2023,14
KSIT,Robotics and Automation Engineering,ST,KCET,2024,21
YKCE,Electrical and Electronics Engineering,OBC,COMEDK,2023,24
VemanaIT,Electronics and Communication Engineering,ST,COMEDK,2024,38
HKBK,Electronics and Communication Engineering,OBC,KCET,2024,56
BITM,Aerospace Engineering,Christian,COMEDK,2023,55
SITM,Electronics and Communication Engineering,Christian,KCET,2023,56
EastPoint,Electrical and Electronics Engineering,OBC,KCET,2023,56
EastPoint,Aerospace Engineering,Christian,COMEDK,2024,47
HKBK,Electronics and Communication Engineering,SC,COMEDK,2023,7
PRES,Chemical Engineering,SC,COMEDK,2023,29
VIT,Artificial Intelligence and Data Science,OBC,KCET,2024,34
BMSCE,Electrical and Electronics Engineering,Tulu,KCET,2023,23
VVIT,Chemical Engineering,GM,KCET,2023,16
VSM,Artificial Intelligence and Data Science,SC,COMEDK,2023,21
MSRIT,Civil Engineering,SC,KCET,2023,24
MVJCE,Mechanical Engineering,Tulu,KCET,2024,14
SIT,Electronics and Communication Engineering,ST,COMEDK,2024,56
AEC,Aerospace Engineering,ST,COMEDK,2024,16
REVA,Electronics and Communication Engineering,SC,KCET,2024,32
NHCE,Electrical and Electronics Engineering,Tulu,KCET,2024,9
AIT,Civil Engineering,Christian,COMEDK,2024,16
PRES,Biotechnology,Tulu,COMEDK,2024,18
SCEM,Electrical and Electronics Engineering,OBC,COMEDK,2024,6
REVA,Civil Engineering,ST,KCET,2023,19
VemanaIT,Aerospace Engineering,SC,COMEDK,2023,40
SCEM,Artificial Intelligence and Data Science,GM,KCET,2023,46
SDMCET,Mechanical Engineering,OBC,COMEDK,2023,35
VVCE,Computer Science and Engineering,GM,KCET,2024,10
UVCE,Computer Science and Engineering,SC,COMEDK,2023,55
JNNCE,Robotics and Automation Engineering,Tulu,KCET,2023,57
ACU,Biotechnology,OBC,COMEDK,2024,25
UVCE,Electronics and Communication Engineering,SC,COMEDK,2023,42
RVCE,Data Science,Tulu,KCET,2023,46
MVJCE,Information Science and Engineering,SC,KCET,2024,39
DSATM,Information Science and Engineering,OBC,COMEDK,2023,51
KSIT,Chemical Engineering,Christian,KCET,2023,12
RNSIT,Data Science,Tulu,KCET,2023,37
JNNCE,Artificial Intelligence and Data Science,Tulu,COMEDK,2024,18
VIT,Aerospace Engineering,GM,COMEDK,2024,20
JIT,Data Science,Christian,KCET,2023,29
SITM,Biotechnology,SC,COMEDK,2024,49
VSM,Mechanical Engineering,OBC,COMEDK,2023,19
DSATM,Mechanical Engineering,OBC,COMEDK,2024,48
VSM,Chemical Engineering,Christian,KCET,2023,14
NCET,Artificial Intelligence and Data Science,SC,KCET,2024,47
BMSIT,Computer Science and Engineering,Tulu,COMEDK,2023,27
JSSSTU,Artificial Intelligence and Data Science,OBC,COMEDK,2024,50
SDMIT,Artificial Intelligence and Data Science,OBC,COMEDK,2023,30
BIT,Data Science,ST,COMEDK,2023,35
KSIT,Data Science,Tulu,KCET,2024,11
UVCE,Data Science,GM,COMEDK,2023,29
DBIT,Biotechnology,SC,COMEDK,2023,60
AITM,Robotics and Automation Engineering,SC,COMEDK,2024,48
PESU,Chemical Engineering,ST,COMEDK,2023,31
SDMCET,Electrical and Electronics Engineering,SC,KCET,2024,25
RAIT,Electrical and Electronics Engineering,ST,COMEDK,2023,28
KLSGIT,Aerospace Engineering,OBC,COMEDK,2024,36
RNSIT,Artificial Intelligence and Data Science,ST,COMEDK,2023,60
AIT,Robotics and Automation Engineering,ST,KCET,2023,54
RVUNIV,Information Science and Engineering,GM,COMEDK,2023,26
AECMandya,Civil Engineering,ST,KCET,2024,8
NHCE,Data Science,Christian,KCET,2023,47
MSRIT,Biotechnology,SC,KCET,2024,56
KSIT,Civil Engineering,GM,KCET,2024,37
GMIT,Electronics and Communication Engineering,OBC,COMEDK,2023,39
KLSGIT,Information Science and Engineering,Tulu,KCET,2023,52
SJBCE,Information Science and Engineering,GM,COMEDK,2024,35
RVCE,Information Science and Engineering,SC,KCET,2024,48
DrAIT,Electrical and Electronics Engineering,Christian,COMEDK,2024,17
VIT,Artificial Intelligence and Data Science,GM,COMEDK,2023,13
VemanaIT,Electrical and Electronics Engineering,GM,KCET,2024,13
KLSGIT,Biotechnology,ST,COMEDK,2024,54
VVIT,Civil Engineering,GM,COMEDK,2024,15
SDMIT,Civil Engineering,SC,COMEDK,2023,19
EastPoint,Aerospace Engineering,OBC,KCET,2023,58
SDMIT,Aerospace Engineering,GM,COMEDK,2023,20
AITM,Civil Engineering,Christian,COMEDK,2024,20
RVUNIV,Mechanical Engineering,ST,KCET,2023,6
PESU,Artificial Intelligence and Data Science,GM,KCET,2024,19
DrAIT,Biotechnology,Tulu,KCET,2023,19
DSATM,Chemical Engineering,SC,KCET,2023,49
JSSSTU,Electrical and Electronics Engineering,Christian,KCET,2024,17
AIT,Civil Engineering,OBC,COMEDK,2023,13
DBIT,Mechanical Engineering,OBC,KCET,2023,6
DrAIT,Aerospace Engineering,SC,KCET,2023,22
VVCE,Civil Engineering,GM,COMEDK,2023,48
DSCE,Information Science and Engineering,Christian,KCET,2023,41
BMSIT,Information Science and Engineering,GM,KCET,2023,25
VVIT,Artificial Intelligence and Data Science,OBC,KCET,2023,11
DBIT,Information Science and Engineering,Tulu,KCET,2023,34
